[0807/132755.963:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xddc001b4400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/132756.061:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xddc001b4400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/132756.121:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xddc001b4400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/132756.138:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xddc001b4400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/132800.888:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6c1c001c0e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/132800.959:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6c1c001c0e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/132801.003:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6c1c001c0e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/132801.017:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6c1c001c0e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/132801.374:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x61c400aff600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/132801.437:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x61c400aff600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/132801.491:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x61c400aff600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/132801.509:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x61c400aff600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/132923.038:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2b2400186e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/132923.275:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2b2400186e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/132923.336:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2b2400186e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/132923.394:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2b2400186e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/132927.747:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6614001ca200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/132927.823:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1c54001cee00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
